ID_participant, aesthetic_begin, aesthetic_end, narrative_begin, narrative_end, goals_begin, goals_end
7,14:17:37,14:28:43,14:36:43,14:49:53,14:57:23,15:07:51
10,13:01:14,13:12:40,12:26:04,12:39:25,12:43:14,12:56:03
11,16:41:36,16:48:28,16:58:54,17:06:25,16:19:36,16:36:24
14,11:14:16,11:36:55,10:34:21,10:51:07,10:56:16,11:10:57
15,16:25:31,16:36:32,16:59:53,17:07:12,16:42:12,16:51:30
16,14:40:52,14:50:18,14:20:44,14:31:49,14:55:46,15:05:43
17,16:16:00,16:32:22,16:44:07,16:53:10,17:04:01,17:14:56
18,14:10:28,14:39:21,14:47:30,14:58:01,15:11:56,15:26:04
19,11:08:16,11:19:56,11:32:31,11:42:38,10:38:14,10:55:24
20,17:15:55,17:24:00,16:48:19,16:55:24,16:25:15,16:37:31
22,18:10:58,18:21:21,17:57:59,18:07:25,17:33:32,17:54:27
24,17:56:58,18:19:12,18:44:51,18:55:36,18:25:57,18:40:59
25,12:36:04,12:43:43,12:12:13,12:18:58,12:54:31,13:03:00
26,11:01:14,11:14:10,10:38:00,10:51:14,11:24:26,11:39:31
28,13:26:42,13:45:29,13:53:17,14:03:48,14:07:38,14:21:49
29,11:20:44,11:36:02,11:48:05,12:02:03,12:08:33,12:30:16
30,13:52:50,14:07:54,13:31:25,13:47:28,14:12:47,14:27:57
32,18:11:18,18:25:27,17:35:54,17:45:45,17:14:18,17:32:15
34,16:38:34,16:58:16,17:01:05,17:13:16,16:14:45,16:35:08
35,12:18:55,12:38:06,13:17:05,13:25:08,12:50:26,13:04:40
37,10:32:32,10:50:03,11:32:17,11:38:58,11:11:44,11:20:33
38,17:34:41,17:45:48,17:19:42,17:26:37,16:56:04,17:09:39
39,16:31:24,16:46:29,16:59:36,17:11:50,16:09:15,16:22:43
40,12:06:02,12:25:57,11:23:40,11:42:03,11:45:16,12:01:59
41,18:19:40,18:45:34,17:41:57,18:10:13,17:56:30,18:14:56
43,16:30:47,16:48:28,16:02:48,16:19:13,17:00:56,17:12:56
44,14:44:48,15:08:38,15:18:20,15:30:40,14:18:43,14:35:24
46,14:31:06,14:48:45,15:25:10,15:34:11,14:59:08,15:14:16
47,13:09:12,13:21:01,12:47:06,12:56:12,13:31:24,13:42:01
49,16:55:01,17:00:23,16:40:06,16:47:53,16:16:33,16:27:46
51,10:53:55,11:07:59,10:31:04,10:46:20,11:17:52,11:26:12
52,11:26:43,11:37:35,10:33:25,10:51:01,11:01:15,11:16:11
53,14:46:00,15:09:38,15:21:20,15:29:19,14:16:59,14:34:53
55,11:27:54,11:50:10,12:38:35,12:49:50,12:23:58,12:35:07
56,15:25:12,15:49:05,15:57:46,16:10:32,16:18:43,16:31:49
57,15:04:50,15:17:11,14:42:22,14:52:21,14:16:19,14:32:29
